special,policy,mode,n,safe_success_mean,safe_success_ci95,final_success_mean,harmful_contact_mean,harmful_contact_ci95,late_switch_mean,late_switch_ci95,early_false_switch_mean,early_false_switch_ci95,deadline_violation_mean,deadline_violation_ci95,avoidable_lateness_mean,impulse_mean,expected_cost_mean,impulse_p90,expected_cost_p90
early_switch_cost_high,calibrated_deadline_guard,compliant_skin,56,0.839286,0.096193,0.803571,0.160714,0.096193,0.160714,0.096193,0.017857,0.034686,0.142857,0.091652,0.089286,0.40933,0.762965,1.599195,3.696945
early_switch_cost_high,calibrated_deadline_guard,fragile,56,0.857143,0.091652,0.821429,0.142857,0.091652,0.142857,0.091652,0.0,0.0,0.142857,0.091652,0.071429,0.407759,0.616254,1.75759,4.116365
early_switch_cost_high,calibrated_deadline_guard,nominal,56,0.910714,0.074687,0.839286,0.089286,0.074687,0.0,0.0,0.089286,0.074687,0.0,0.0,0.0,0.260244,0.796843,0.256225,0.04612
early_switch_cost_high,calibrated_deadline_guard,occluded_rim,56,0.571429,0.129615,0.535714,0.428571,0.129615,0.428571,0.129615,0.125,0.086621,0.303571,0.120429,0.071429,0.739017,2.418737,1.60373,11.230245
early_switch_cost_high,calibrated_deadline_guard,slippery,56,0.660714,0.124009,0.607143,0.339286,0.124009,0.339286,0.124009,0.035714,0.048606,0.303571,0.120429,0.089286,0.584119,1.205141,1.443435,2.66352
early_switch_cost_high,calibrated_deadline_guard,thin_lip,56,0.839286,0.096193,0.839286,0.160714,0.096193,0.160714,0.096193,0.017857,0.034686,0.142857,0.091652,0.053571,0.382621,0.653693,1.405995,3.0151
early_switch_cost_high,deadline_threshold,compliant_skin,56,0.857143,0.091652,0.821429,0.142857,0.091652,0.142857,0.091652,0.017857,0.034686,0.125,0.086621,0.107143,0.377025,0.696437,1.53864,3.69126
early_switch_cost_high,deadline_threshold,fragile,56,0.892857,0.081009,0.857143,0.107143,0.081009,0.107143,0.081009,0.017857,0.034686,0.089286,0.074687,0.053571,0.350631,0.613114,0.97539,2.082065
early_switch_cost_high,deadline_threshold,nominal,56,0.892857,0.081009,0.803571,0.107143,0.081009,0.0,0.0,0.107143,0.081009,0.0,0.0,0.0,0.28966,0.952139,0.61782,4.31121
early_switch_cost_high,deadline_threshold,occluded_rim,56,0.553571,0.130204,0.535714,0.446429,0.130204,0.446429,0.130204,0.160714,0.096193,0.285714,0.118322,0.071429,0.752164,2.76039,1.588695,11.22681
early_switch_cost_high,deadline_threshold,slippery,56,0.660714,0.124009,0.625,0.339286,0.124009,0.339286,0.124009,0.089286,0.074687,0.25,0.113413,0.071429,0.571074,1.631365,1.403585,2.67469
early_switch_cost_high,deadline_threshold,thin_lip,56,0.875,0.086621,0.839286,0.125,0.086621,0.125,0.086621,0.017857,0.034686,0.107143,0.081009,0.053571,0.33483,0.546876,1.30171,3.00076
